timestamp,Transform 1,Transform 2
2026-07-18 20:49:44.164358-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.185917-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57152006e-01  5.15049999e-01 -3.73333611e-03 -9.15500000e+01]
 [-5.12962854e-01  8.52979737e-01 -9.64089104e-02  1.09100000e+01]
 [-4.64709491e-02  8.45521536e-02  9.95334810e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.197431-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57152006e-01  5.15049999e-01 -3.73333611e-03 -9.15500000e+01]
 [-5.12962854e-01  8.52979737e-01 -9.64089104e-02  1.09100000e+01]
 [-4.64709491e-02  8.45521536e-02  9.95334810e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.218427-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.231360-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.243204-07:00,"[[-0.28355 -0.633    0.72035 -0.00555]
 [-0.93041  0.36353 -0.04679  0.85757]
 [-0.23225 -0.68349 -0.69203  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57068864e-01  5.15181532e-01 -4.57730675e-03 -9.15500000e+01]
 [-5.13232380e-01  8.52982706e-01 -9.49369675e-02  1.09100000e+01]
 [-4.50054089e-02  8.37167409e-02  9.95472762e-01 -2.19181000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
2026-07-18 20:49:44.264176-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.275953-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.297781-07:00,"[[-0.28351 -0.633    0.72037 -0.00555]
 [-0.93041  0.36353 -0.04674  0.85757]
 [-0.23229 -0.68349 -0.69202  0.28447]
 [ 0.       0.       0.       1.     ]]",
2026-07-18 20:49:44.310950-07:00,"[[-0.2836  -0.633    0.72034 -0.00555]
 [-0.9304   0.36353 -0.04685  0.85757]
 [-0.23221 -0.68349 -0.69204  0.28447]
 [ 0.       0.       0.       1.     ]]","[[ 8.57312925e-01  5.14767310e-01 -5.40051427e-03 -9.15500000e+01]
 [-5.12853685e-01  8.53121557e-01 -9.57324765e-02  1.09100000e+01]
 [-4.46726542e-02  8.48423631e-02  9.95392449e-01 -2.19180000e+03]
 [ 0.00000000e+00  0.00000000e+00  0.00000000e+00  1.00000000e+00]]"
